step,valid_loss,train_loss,elapsed_time
800,3.86365e+06,3.63150e+00,219.246
810,4.84787e+06,3.67098e+00,222.016
820,3.65084e+06,3.70743e+00,224.697
830,3.58794e+06,3.74413e+00,227.468
840,6.00153e+06,3.78559e+00,230.152
850,8.79888e+06,3.82907e+00,232.917
860,9.75131e+06,3.87383e+00,235.601
870,3.84281e+06,3.91855e+00,238.370
880,6.55857e+05,3.96879e+00,241.086
890,1.77513e+05,4.02319e+00,243.814
900,1.44737e+06,4.07821e+00,246.617
910,2.48512e+06,4.13175e+00,249.337
920,3.87349e+06,4.18042e+00,252.142
930,5.38580e+06,4.23335e+00,254.868
940,9.34391e+06,4.29339e+00,257.669
950,9.36591e+06,4.36028e+00,260.388
960,1.67617e+07,4.42933e+00,263.119
970,2.28756e+07,4.49112e+00,265.915
980,3.55774e+07,4.54315e+00,268.686
990,4.58796e+07,4.61823e+00,271.532
1000,5.05030e+07,4.70393e+00,274.301
1010,5.22107e+07,4.77636e+00,277.132
1020,4.38941e+07,4.87826e+00,279.894
1030,8.39993e+07,4.98576e+00,282.668
1040,9.92537e+07,5.09155e+00,285.508
1050,1.22171e+08,5.18838e+00,288.208
1060,1.51467e+08,5.28530e+00,290.968
1070,1.87289e+08,5.37706e+00,293.673
1080,2.74908e+08,5.46082e+00,296.446
1090,3.24624e+08,5.56170e+00,299.131
1100,3.87125e+08,5.66306e+00,301.906
1110,4.46982e+08,5.74428e+00,304.596
1120,2.70891e+08,5.82715e+00,307.293
1130,5.52156e+08,5.92115e+00,310.059
1140,2.15928e+08,6.00638e+00,312.760
1150,4.35831e+09,6.10372e+00,315.526
1160,7.29801e+09,6.20237e+00,318.223
1170,8.22102e+09,6.32168e+00,320.978
1180,9.13792e+09,6.42657e+00,323.676
1190,1.06381e+10,6.51277e+00,326.366
1200,8.08828e+09,6.53047e+00,329.135
1210,1.12051e+10,6.58882e+00,331.837
1220,1.25411e+10,6.54784e+00,334.600
1230,8.96316e+09,6.48448e+00,337.293
1240,4.42385e+09,6.49502e+00,340.059
1250,1.49656e+10,6.51308e+00,342.757
1260,2.61910e+10,6.50269e+00,345.449
1270,8.65246e+10,6.54095e+00,348.225
1280,1.23945e+11,6.54393e+00,350.913
1290,1.96019e+11,6.50476e+00,353.686
1300,2.68080e+11,6.53962e+00,356.382
1310,2.88754e+11,6.38871e+00,359.140
1320,3.84598e+11,6.42343e+00,361.844
1330,4.55296e+11,6.48243e+00,364.600
1340,5.22502e+11,6.53705e+00,367.299
1350,5.70994e+11,6.69198e+00,369.985
1360,5.96249e+11,6.92151e+00,372.756
1370,5.36154e+11,7.12157e+00,375.446
1380,8.39882e+11,6.68831e+00,378.219
1390,8.40830e+11,6.59857e+00,380.908
1400,8.90251e+11,6.60689e+00,383.678
1410,8.27049e+11,6.07342e+00,386.377
1420,6.99223e+11,5.53315e+00,389.070
1430,4.08825e+11,5.28282e+00,391.843
1440,3.52102e+11,5.01345e+00,394.533
1450,3.86073e+11,4.77936e+00,397.310
1460,3.95755e+11,4.55280e+00,399.995
1470,4.32494e+11,4.39315e+00,402.770
1480,5.16304e+11,4.17042e+00,405.455
1490,1.62484e+12,3.78522e+00,408.152
1500,3.12645e+12,3.29321e+00,410.911
1510,4.07685e+12,3.20011e+00,413.616
1520,3.76754e+12,2.76086e+00,416.390
1530,3.86227e+12,2.45452e+00,419.119
1540,3.73112e+12,2.56089e+00,421.949
1550,4.40333e+12,2.75579e+00,424.681
1560,4.01774e+12,3.29587e+00,427.460
1570,4.01156e+12,3.36086e+00,430.152
1580,4.51528e+12,3.64028e+00,432.847
1590,5.85249e+12,3.40711e+00,435.613
1600,6.29031e+12,3.41590e+00,438.310
1610,7.33380e+12,3.38953e+00,441.078
1620,8.82327e+12,3.39695e+00,443.777
1630,9.34228e+12,4.10853e+00,446.539
1640,9.39172e+12,4.78848e+00,449.226
1650,8.38595e+12,5.37751e+00,451.926
1660,7.53270e+12,5.11896e+00,454.687
1670,5.71010e+12,5.35325e+00,457.385
1680,4.59758e+12,4.87258e+00,460.148
1690,5.50471e+12,4.50251e+00,462.840
1700,6.50517e+12,4.36827e+00,465.616
1710,9.13724e+12,3.87737e+00,468.304
1720,9.38088e+12,3.74036e+00,470.982
1730,8.86818e+12,3.33565e+00,473.741
1740,8.03797e+12,2.81425e+00,476.422
1750,6.73449e+12,2.07459e+00,479.173
1760,7.85662e+12,1.56487e+00,481.834
1770,7.39897e+12,1.37519e+00,484.544
1780,5.86568e+12,1.35915e+00,487.215
1790,4.71395e+12,1.21363e+00,489.961
1800,6.38585e+12,1.23350e+00,492.645
1810,7.89534e+12,1.41445e+00,495.319
1820,1.16544e+13,1.56262e+00,498.071
1830,1.53739e+13,1.57960e+00,500.734
1840,1.64549e+13,1.35625e+00,503.480
1850,1.78999e+13,1.39630e+00,506.138
1860,1.83306e+13,1.89761e+00,508.895
1870,1.88187e+13,1.72114e+00,511.578
1880,1.75557e+13,1.63267e+00,514.249
1890,1.89576e+13,1.71147e+00,517.010
1900,1.81194e+13,1.92091e+00,519.685
1910,1.40401e+13,2.10898e+00,522.423
1920,1.27227e+13,2.33293e+00,525.062
1930,1.22982e+13,2.89578e+00,527.786
1940,1.41146e+13,3.09857e+00,530.425
1950,1.30302e+13,4.14153e+00,533.078
1960,1.20150e+13,4.07221e+00,535.790
1970,1.16720e+13,3.85230e+00,538.438
1980,1.07950e+13,3.61176e+00,541.149
1990,1.44918e+13,3.37065e+00,543.798
2000,1.41501e+13,3.24430e+00,546.521
